table,yellow,type,angaza,upya,upya_uganda,update_on,zoho,pk
payments,down_payment_ind,BOOLEAN,down_payment,,,,,
payments,responsible_user,TEXT,,,,,1,
payments,responsible_user_id,INT,,,,,1,
payments,responsible_user_ext_id,TEXT,,,,,1,
payments,payment_note,TEXT,payment_note,note,note,,1,
payments,reversal_note,TEXT,reversal_note,,,,,
payments,reassigned_user_id,INT,,,,,,
payments,reassigned_user_external_id,TEXT,,,,,,
payments,reassigned_utc,TIMESTAMPTZ,,,,,,
payments,payment_code,TEXT,,paymentCode,paymentCode,,1,
stock,stock_id,INT,,,,,1,1
stock,stock_external_id,TEXT,angaza_id,serialNumber,serialNumber,1,1,
stock,transit_state,TEXT,transit_state,status,status,,1,
stock,in_stock,BOOLEAN,,inStock.status,inStock.status,,,
stock,account_id,INT,,,,,1,
stock,unit_number,TEXT,unit_number,paygNumber,paygNumber,,1,
stock,asset_number,TEXT,unit_number,serialNumber,serialNumber,,1,
stock,product,TEXT,product_name,productDetails.name,productDetails.name,,1,
stock,batch,TEXT,,batchnumber,batchnumber,,,
stock,holder,TEXT,holder,heldBy.profile.firstName+heldBy.profile.lastName,heldBy.profile.firstName+heldBy.profile.lastName,,1,
stock,holder_external_id,TEXT,holder_angaza_id,heldBy.agentNumber,heldBy.agentNumber,,1,
stock,holder_id,INT,,,,,1,
stock,date_added_utc,TIMESTAMPTZ,date_added_utc,dateAdded,dateAdded,,1,
stock,date_instock_utc,TIMESTAMPTZ,,inStock.date,inStock.date,,,
stock,date_replaced_utc,TIMESTAMPTZ,,defect.date,defect.date,,,
stock,replacement_asset_number,TEXT,,,,,,
stock,held_since_utc,TIMESTAMPTZ,held_since_utc,lastUpdate,lastUpdate,,1,
stock,date_distributed_utc,TIMESTAMPTZ,,,,,,
replacements,replacement_id ,INT,,,,,1,1
replacements,replacement_external_id,TEXT,angaza_id,,,1,1,
replacements,account_id,INT,,,,,1,
replacements,old_stock_id,INT,,,,,1,
replacements,old_unit_number,TEXT,old_unit_number,,,,1,
replacements,old_asset_number,TEXT,old_unit_number,,,,1,
replacements,new_stock_id,INT,,,,,1,
replacements,new_unit_number,TEXT,new_unit_number,,,,1,
replacements,new_asset_number,TEXT,new_unit_number,,,,1,
replacements,replacement_date_utc,TIMESTAMPTZ,replacement_date_utc,,,,1,
replacements,product,TEXT,product_name,,,,1,
replacements,source_of_replacement,TEXT,source_of_replacement,,,,1,
replacements,note,TEXT,note,,,,1,
replacements,responsible_user,TEXT,responsible_user,,,,1,
replacements,responsible_user_id,INT,,,,,1,
replacements,responsible_user_ext_id,TEXT,responsible_user_angaza_id,,,,1,
replacements,acc_responsible_user,TEXT,account_responsible_agent,,,,1,
replacements,acc_responsible_user_id,INT,,,,,1,
replacements,acc_responsible_user_ext_id,TEXT,account_responsible_agent_angaza_id,,,,1,
applications,application_id,INT,,,,,1,1
applications,application_external_id,TEXT,angaza_id,contractNumber,contractNumber,1,1,
applications,submitted_utc,TIMESTAMPTZ,submitted_utc,submissionDate,submissionDate,,1,
applications,created_utc,TIMESTAMPTZ,created_utc,entryDate,entryDate,,1,
applications,pricing_group,TEXT,pricing_group,dealName,dealName,,1,
applications,status,TEXT,status,onboardingStatus,onboardingStatus,,1,
applications,account_id,INT,,,,,,
applications,account_external_id,TEXT,registered_account_angaza_id,,,,1,
applications,account_status,TEXT,,,,,,
applications,unit_number,TEXT,registered_account_number,,,,1,
applications,recorder_id,INT,,,,,1,
applications,recorder,TEXT,recorder,,,,1,
applications,recorder_ext_id,TEXT,recorder_angaza_id,respAgent,respAgent,,1,
applications,note_recorded_utc,TIMESTAMPTZ,note_recorded_utc,creditDecisionDate,creditDecisionDate,,1,
applications,note_recorder,TEXT,note_recorder,,,,1,
applications,note_recorder_id,INT,,,,,1,
applications,note_recorder_external_id,TEXT,note_recorder_angaza_id,creditDecisionUserId,creditDecisionUserId,,1,
applications,responsible_user_id,INT,,,,,1,
applications,responsible_user,TEXT,responsible_user,,,,1,
applications,responsible_user_ext_id,TEXT,responsible_user_angaza_id,respAgent,respAgent,,1,
applications,client_external_id,TEXT,,client.clientNumber,client.clientNumber,,1,
applications,client_name,TEXT,prospect_name,client.profile.firstName+client.profile.lastName,client.profile.firstName+client.profile.lastName,,1,
applications,client_phone_number,BIGINT,phone,client.contact.fullNumber,client.contact.fullNumber,,1,
applications,client_id_number,TEXT,customer_id_number,client_id_number,client_id_number,,1,
applications,client_dob,TEXT,,client.profile.birthday,client.profile.birthday,,,
applications,age_years,INT,age_years,age_years,,,1,
applications,gender,TEXT,gender,gender,gender,,1,
applications,client_district,TEXT,customer_district,customer_district,District,,1,
applications,client_ta,TEXT,customer_ta,customer_ta,lc1,,1,
applications,client_village,TEXT,customer_village,customer_village,,,1,
applications,client_nearest_trading_centre,TEXT,customer_-_nearest_trading_centre,customer_nearest_trading_centre,client_nearest_trading_centre,,1,
applications,nearest_primary_school,TEXT,,nearest_primary_school,,,1,
applications,nearest_landmark,TEXT,,nearest_landmark,,,1,
applications,home_village,TEXT,,home_village,,,1,
applications,village_headman_name,TEXT,village_headman_name,village_headman_name,,,1,
applications,village_headman_phone_number,BIGINT,,village_headman_phone_number,,,1,
applications,group_village_headman_name,TEXT,group_village_headman_name,group_village_headman_name,,,1,
applications,location_lnglat,GEOGRAPHY,location_latitudelongitude,client.profile.gps.latitude+client.profile.gps.longitude,client.profile.gps.latitude+client.profile.gps.longitude,,1,
applications,marketing_consent,TEXT,customer_consents_to_being_contacted_regarding_application_and_future_offers,marketing_consent,marketing_consent,,1,
clients,client_id,INT,,,,,1,1
clients,client_external_id,TEXT,angaza_id,clientNumber,clientNumber,1,1,
clients,client_name,TEXT,client_name,profile.firstName+profile.lastName,profile.firstName+profile.lastName,,1,
clients,client_phone_number,BIGINT,phone_number,contact.countryCode|contact.mobile,contact.countryCode|contact.mobile,,1,
clients,unit_numbers,TEXT,account_numbers,contracts,contracts,,1,
clients,date_created_utc,TIMESTAMPTZ,date_created_utc,entryDate,entryDate,,1,
clients,client_photo,TEXT,client_photo,picture,picture,,1,
clients,neighbour_or_nearby_resident_contact_number,BIGINT,contact.neighbour,contact.neighbour,contact.neighbour,,1,
clients,next_of_kin_contact_number,TEXT,contact.nextOfKin,contact.nextOfKin,contact.nextOfKin,,1,
clients,client_location_lnglat,GEOGRAPHY,gps_location_latitudelongitude,profile.gps.latitude+profile.gps.longitude,profile.gps.latitude+profile.gps.longitude,,1,
clients,marketing_consent,TEXT,customer_consents_to_being_contacted_regarding_application_and_future_offers,,,,1,
clients,recorder_id,INT,,,,,1,
clients,recorder,TEXT,recorder,recorder,recorder,,1,
clients,client_latitude,DECIMAL,,,,,1,
clients,client_longitude,DECIMAL,,,,,1,
clients,secondary_phone_number,BIGINT,,contact.secondaryMobile,contact.secondaryMobile,,1,
clients,responsible_user_external_id,TEXT,,agent.agentNumber,agent.agentNumber,,1,
clients,responsible_user_id,INT,,,,,1,
webusers,webuser_fullname,TEXT,first_name+last_name,profile.firstName+profile.lastName,profile.firstName+profile.lastName,,1,
webusers,webuser_upya_id,TEXT,,userNumber,userNumber,,1,
webusers,webuser_angaza_id,TEXT,angaza_id,,,,1,
webusers,webuser_id,INT,,,,,1,
webusers,last_connection,TIMESTAMPTZ,,latestConnexion,latestConnexion,,1,
webusers,webuser_email,TEXT,email,email,email,1,1,1
webusers,webuser_username,TEXT,username,username,username,,1,
webusers,webuser_role,TEXT,role,role,role,,1,
account_events,event_id,INT,,,,,1,1
account_events,event_external_id,TEXT,,_id,_id,1,1,
account_events,event_type,TEXT,,type,type,,1,
account_events,account_external_id,TEXT,,contract.contractNumber,contract.contractNumber,,1,
account_events,unit_number,TEXT,,contract.paygNumber,contract.paygNumber,,1,
account_events,event_timestamp,TIMESTAMPTZ,,date,date,,1,
account_events,event_info,TEXT,,info,info,,1,
account_events,event_additional_info,TEXT,,additionalInfo,additionalInfo,,1,
account_events,event_user_upya_id,TEXT,,,,,1,
account_events,event_user_id,INT,,,,,1,
account_events,replaced_unit_number,TEXT,,,,,1,
stock_events,event_id,INT,,,,,1,1
stock_events,event_external_id,TEXT,,_id,_id,1,1,
stock_events,event_type,TEXT,,type,type,,1,
stock_events,product,TEXT,,asset.productDetails.name,asset.productDetails.name,,1,
stock_events,stock_id,INT,,,,,1,
stock_events,asset_number,TEXT,,asset.serialNumber,asset.serialNumber,,1,
stock_events,unit_number,TEXT,,asset.paygNumber,asset.paygNumber,,1,
stock_events,event_timestamp,TIMESTAMPTZ,,date,date,,1,
stock_events,to_user_id,INT,,,,,1,
stock_events,to_user_upya_id,TEXT,,newHolder.agentNumber,newHolder.agentNumber,,1,
stock_events,from_user_id,INT,,,,,1,
stock_events,from_user_upya_id,TEXT,,prevHolder.agentNumber,prevHolder.agentNumber,,1,
stock_events,stock_entry_count,INT,,asset.stockEntryCount,asset.stockEntryCount,,1,
stock_events,prev_unit_number,TEXT,,prevPaygNumber,prevPaygNumber,,1,
stock_events,prev_account_external_id,TEXT,,prevContractNumber,prevContractNumber,,1,
stock_events,note,TEXT,,note,note,,1,
stock_events,author,TEXT,,author,author,,1,
